frame,label,x,y,width,height
0,AIRPLANE,169.00,60.00,16.00,12.00
1,AIRPLANE,169.34,59.88,16.00,12.02
2,AIRPLANE,169.69,59.76,16.00,12.04
3,AIRPLANE,170.03,59.64,16.00,12.06
4,AIRPLANE,170.38,59.52,16.00,12.08
5,AIRPLANE,170.72,59.40,16.00,12.10
6,AIRPLANE,171.07,59.28,16.00,12.12
7,AIRPLANE,171.41,59.17,16.00,12.14
8,AIRPLANE,171.75,59.05,16.00,12.16
9,AIRPLANE,172.10,58.93,16.00,12.18
10,AIRPLANE,172.44,58.81,16.00,12.20
11,AIRPLANE,172.79,58.69,16.00,12.22
12,AIRPLANE,173.13,58.57,16.00,12.24
13,AIRPLANE,173.48,58.45,16.00,12.26
14,AIRPLANE,173.82,58.33,16.00,12.28
15,AIRPLANE,174.17,58.21,16.00,12.30
16,AIRPLANE,174.51,58.09,16.00,12.32
17,AIRPLANE,174.85,57.97,16.00,12.34
18,AIRPLANE,175.20,57.85,16.00,12.36
19,AIRPLANE,175.54,57.74,16.00,12.38
20,AIRPLANE,175.89,57.62,16.00,12.40
21,AIRPLANE,176.23,57.50,16.00,12.42
22,AIRPLANE,176.58,57.38,16.00,12.44
23,AIRPLANE,176.92,57.26,16.00,12.46
24,AIRPLANE,177.26,57.14,16.00,12.48
25,AIRPLANE,177.61,57.02,16.00,12.50
26,AIRPLANE,177.95,56.90,16.00,12.52
27,AIRPLANE,178.30,56.78,16.00,12.54
28,AIRPLANE,178.64,56.66,16.00,12.56
29,AIRPLANE,178.99,56.54,16.00,12.58
30,AIRPLANE,179.33,56.42,16.00,12.60
31,AIRPLANE,179.68,56.30,16.00,12.62
32,AIRPLANE,180.02,56.19,16.00,12.64
33,AIRPLANE,180.36,56.07,16.00,12.66
34,AIRPLANE,180.71,55.95,16.00,12.68
35,AIRPLANE,181.05,55.83,16.00,12.70
36,AIRPLANE,181.40,55.71,16.00,12.72
37,AIRPLANE,181.74,55.59,16.00,12.74
38,AIRPLANE,182.09,55.47,16.00,12.75
39,AIRPLANE,182.43,55.35,16.00,12.77
40,AIRPLANE,182.77,55.23,16.00,12.79
41,AIRPLANE,183.12,55.11,16.00,12.81
42,AIRPLANE,183.46,54.99,16.00,12.83
43,AIRPLANE,183.81,54.87,16.00,12.85
44,AIRPLANE,184.15,54.75,16.00,12.87
45,AIRPLANE,184.50,54.64,16.00,12.89
46,AIRPLANE,184.84,54.52,16.00,12.91
47,AIRPLANE,185.19,54.40,16.00,12.93
48,AIRPLANE,185.53,54.28,16.00,12.95
49,AIRPLANE,185.87,54.16,16.00,12.97
50,AIRPLANE,186.22,54.04,16.00,12.99
51,AIRPLANE,186.56,53.92,16.00,13.01
52,AIRPLANE,186.91,53.80,16.00,13.03
53,AIRPLANE,187.25,53.68,16.00,13.05
54,AIRPLANE,187.60,53.56,16.00,13.07
55,AIRPLANE,187.94,53.44,16.00,13.09
56,AIRPLANE,188.28,53.32,16.00,13.11
57,AIRPLANE,188.63,53.21,16.00,13.13
58,AIRPLANE,188.97,53.09,16.00,13.15
59,AIRPLANE,189.32,52.97,16.00,13.17
60,AIRPLANE,189.66,52.85,16.00,13.19
61,AIRPLANE,190.01,52.73,16.00,13.21
62,AIRPLANE,190.35,52.61,16.00,13.23
63,AIRPLANE,190.70,52.49,16.00,13.25
64,AIRPLANE,191.04,52.37,16.00,13.27
65,AIRPLANE,191.38,52.25,16.00,13.29
66,AIRPLANE,191.73,52.13,16.00,13.31
67,AIRPLANE,192.07,52.01,16.00,13.33
68,AIRPLANE,192.42,51.89,16.00,13.35
69,AIRPLANE,192.76,51.77,16.00,13.37
70,AIRPLANE,193.11,51.66,16.00,13.39
71,AIRPLANE,193.45,51.54,16.00,13.41
72,AIRPLANE,193.79,51.42,16.00,13.43
73,AIRPLANE,194.14,51.30,16.00,13.45
74,AIRPLANE,194.48,51.18,16.00,13.47
75,AIRPLANE,194.83,51.06,16.00,13.49
76,AIRPLANE,195.17,50.94,16.00,13.51
77,AIRPLANE,195.52,50.82,16.00,13.53
78,AIRPLANE,195.86,50.70,16.00,13.55
79,AIRPLANE,196.21,50.58,16.00,13.57
80,AIRPLANE,196.55,50.46,16.00,13.59
81,AIRPLANE,196.89,50.34,16.00,13.61
82,AIRPLANE,197.24,50.23,16.00,13.63
83,AIRPLANE,197.58,50.11,16.00,13.65
84,AIRPLANE,197.93,49.99,16.00,13.67
85,AIRPLANE,198.27,49.87,16.00,13.69
86,AIRPLANE,198.62,49.75,16.00,13.71
87,AIRPLANE,198.96,49.63,16.00,13.73
88,AIRPLANE,199.30,49.51,16.00,13.75
89,AIRPLANE,199.65,49.39,16.00,13.77
90,AIRPLANE,199.99,49.27,16.00,13.79
91,AIRPLANE,200.34,49.15,16.00,13.81
92,AIRPLANE,200.68,49.03,16.00,13.83
93,AIRPLANE,201.03,48.91,16.00,13.85
94,AIRPLANE,201.37,48.79,16.00,13.87
95,AIRPLANE,201.72,48.68,16.00,13.89
96,AIRPLANE,202.06,48.56,16.00,13.91
97,AIRPLANE,202.40,48.44,16.00,13.93
98,AIRPLANE,202.75,48.32,16.00,13.95
99,AIRPLANE,203.09,48.20,16.00,13.97
100,AIRPLANE,203.44,48.08,16.00,13.99
101,AIRPLANE,203.78,47.96,16.00,14.01
102,AIRPLANE,204.13,47.84,16.00,14.03
103,AIRPLANE,204.47,47.72,16.00,14.05
104,AIRPLANE,204.81,47.60,16.00,14.07
105,AIRPLANE,205.16,47.48,16.00,14.09
106,AIRPLANE,205.50,47.36,16.00,14.11
107,AIRPLANE,205.85,47.25,16.00,14.13
108,AIRPLANE,206.19,47.13,16.00,14.15
109,AIRPLANE,206.54,47.01,16.00,14.17
110,AIRPLANE,206.88,46.89,16.00,14.19
111,AIRPLANE,207.23,46.77,16.00,14.21
112,AIRPLANE,207.57,46.65,16.00,14.23
113,AIRPLANE,207.91,46.53,16.00,14.25
114,AIRPLANE,208.26,46.41,16.00,14.26
115,AIRPLANE,208.60,46.29,16.00,14.28
116,AIRPLANE,208.95,46.17,16.00,14.30
117,AIRPLANE,209.29,46.05,16.00,14.32
118,AIRPLANE,209.64,45.93,16.00,14.34
119,AIRPLANE,209.98,45.81,16.00,14.36
120,AIRPLANE,210.32,45.70,16.00,14.38
121,AIRPLANE,210.67,45.58,16.00,14.40
122,AIRPLANE,211.01,45.46,16.00,14.42
123,AIRPLANE,211.36,45.34,16.00,14.44
124,AIRPLANE,211.70,45.22,16.00,14.46
125,AIRPLANE,212.05,45.10,16.00,14.48
126,AIRPLANE,212.39,44.98,16.00,14.50
127,AIRPLANE,212.74,44.86,16.00,14.52
128,AIRPLANE,213.08,44.74,16.00,14.54
