frame,label,x,y,width,height
0,BIRD,252.00,73.00,14.00,12.00
1,BIRD,249.00,72.00,15.00,13.00
2,BIRD,247.00,70.00,15.00,13.00
3,BIRD,247.00,70.00,15.00,13.00
4,BIRD,243.00,68.00,19.00,15.00
5,BIRD,246.00,70.00,13.00,11.00
6,BIRD,244.00,69.00,15.00,12.00
7,BIRD,244.00,69.00,15.00,12.00
8,BIRD,242.00,67.00,14.00,13.00
9,BIRD,241.00,68.00,15.00,10.00
10,BIRD,240.00,67.00,15.00,13.00
11,BIRD,241.00,68.00,12.00,11.00
12,BIRD,238.00,68.00,15.00,12.00
13,BIRD,235.00,69.00,18.00,9.00
14,BIRD,236.00,68.00,13.00,13.00
15,BIRD,233.00,65.00,15.00,14.00
16,BIRD,232.00,67.00,14.00,11.00
17,BIRD,231.00,66.00,15.00,12.00
18,BIRD,229.00,68.00,14.00,10.00
19,BIRD,228.00,66.00,15.00,11.00
20,BIRD,229.00,66.00,12.00,12.00
21,BIRD,228.00,65.00,13.00,14.00
22,BIRD,227.00,66.00,13.00,13.00
23,BIRD,225.00,64.00,13.00,13.00
24,BIRD,226.00,64.00,12.00,14.00
25,BIRD,223.00,63.00,15.00,13.00
26,BIRD,220.00,63.00,16.00,14.00
27,BIRD,221.00,63.00,13.00,9.00
28,BIRD,220.00,62.00,13.00,11.00
29,BIRD,217.00,60.00,15.00,14.00
30,BIRD,217.00,61.00,14.00,11.00
31,BIRD,216.00,60.00,13.00,13.00
32,BIRD,216.00,60.00,13.00,12.00
33,BIRD,211.00,60.00,16.00,12.00
34,BIRD,211.00,61.00,14.00,12.00
35,BIRD,210.00,60.00,12.00,12.00
36,BIRD,210.00,60.00,11.00,12.00
37,BIRD,208.00,59.00,11.00,12.00
38,BIRD,207.00,60.00,12.00,11.00
39,BIRD,205.00,59.00,13.00,13.00
40,BIRD,203.00,57.00,14.00,14.00
41,BIRD,205.00,60.00,10.00,9.00
42,BIRD,202.00,56.00,11.00,13.00
42,BIRD,160.00,124.00,14.00,9.00
43,BIRD,200.00,55.00,13.00,14.00
43,BIRD,161.00,126.00,8.00,7.00
44,BIRD,200.00,55.00,12.00,13.00
44,BIRD,160.00,126.00,12.00,8.00
45,BIRD,200.00,56.00,12.00,10.00
45,BIRD,160.00,125.00,9.00,9.00
46,BIRD,198.00,55.00,12.00,12.00
46,BIRD,160.00,125.00,9.00,9.00
47,BIRD,196.00,54.00,13.00,12.00
47,BIRD,159.00,124.00,12.00,10.00
48,BIRD,193.00,53.00,14.00,13.00
48,BIRD,157.00,124.00,12.00,11.00
49,BIRD,191.00,51.79,14.00,14.00
49,BIRD,153.00,123.00,15.00,12.00
50,BIRD,192.00,52.54,14.00,13.00
50,BIRD,154.00,124.00,12.00,10.00
51,BIRD,187.00,53.00,17.00,11.00
51,BIRD,155.00,124.00,11.00,9.00
52,BIRD,187.00,54.00,14.00,11.00
52,BIRD,154.00,124.00,12.00,8.00
53,BIRD,186.00,54.00,13.00,11.00
53,BIRD,153.00,124.00,11.00,10.00
54,BIRD,184.00,54.00,16.00,12.00
54,BIRD,154.00,124.00,10.00,8.00
55,BIRD,182.00,53.00,13.00,10.00
55,BIRD,153.00,124.00,12.00,11.00
56,BIRD,180.00,54.00,15.00,11.00
56,BIRD,151.00,123.00,13.00,11.00
57,BIRD,180.00,53.00,15.00,12.00
57,BIRD,148.00,123.00,15.00,11.00
58,BIRD,179.00,53.00,16.00,11.00
58,BIRD,146.00,121.00,14.00,11.00
59,BIRD,179.00,52.00,12.00,11.00
59,BIRD,149.00,122.00,11.00,11.00
60,BIRD,177.00,52.00,15.00,11.00
60,BIRD,147.00,122.00,13.00,12.00
61,BIRD,175.00,52.00,14.00,11.00
61,BIRD,146.00,122.00,13.00,14.00
62,BIRD,173.00,50.00,15.00,13.00
62,BIRD,145.00,122.00,12.00,11.00
63,BIRD,171.00,47.00,17.00,16.00
63,BIRD,145.00,125.00,11.00,8.00
64,BIRD,171.00,48.00,13.00,12.00
64,BIRD,145.00,124.00,10.00,9.00
65,BIRD,171.00,48.00,12.00,12.00
65,BIRD,144.00,122.00,12.00,13.00
66,BIRD,169.00,47.00,15.00,14.00
66,BIRD,144.00,122.00,12.00,11.00
67,BIRD,168.00,48.00,14.00,11.00
67,BIRD,142.00,121.00,12.00,12.00
68,BIRD,166.00,48.00,14.00,11.00
68,BIRD,142.00,120.00,12.00,13.00
69,BIRD,165.00,47.00,14.00,12.00
69,BIRD,140.00,122.00,12.00,11.00
70,BIRD,163.00,47.00,15.00,12.00
70,BIRD,138.00,122.00,13.00,10.00
71,BIRD,161.00,47.00,17.00,12.00
71,BIRD,138.00,121.00,12.00,11.00
72,BIRD,158.00,48.00,17.00,9.00
72,BIRD,138.00,122.00,12.00,10.00
73,BIRD,157.00,48.00,14.00,9.00
73,BIRD,135.00,122.00,13.00,10.00
74,BIRD,154.00,47.00,15.00,11.00
74,BIRD,135.00,120.00,12.00,12.00
75,BIRD,153.00,47.00,16.00,10.00
75,BIRD,134.00,119.00,14.00,13.00
76,BIRD,153.00,47.00,13.00,10.00
76,BIRD,133.00,122.00,14.00,11.00
77,BIRD,151.00,46.00,15.00,12.00
77,BIRD,134.00,121.00,12.00,12.00
78,BIRD,151.00,45.00,15.00,12.00
78,BIRD,132.00,122.00,15.00,10.00
79,BIRD,148.55,44.41,14.00,12.00
79,BIRD,130.00,122.00,14.00,8.00
80,BIRD,148.76,44.10,14.00,12.00
80,BIRD,130.00,121.00,14.00,12.00
81,BIRD,144.95,43.40,15.00,12.00
81,BIRD,129.00,121.00,14.00,9.00
82,BIRD,144.52,42.48,14.00,12.00
82,BIRD,128.00,120.00,14.00,13.00
83,BIRD,143.25,42.95,14.00,12.00
83,BIRD,128.00,120.00,12.00,10.00
84,BIRD,143.26,41.40,14.00,12.00
84,BIRD,127.00,120.00,14.00,12.00
85,BIRD,140.21,41.40,15.00,12.00
85,BIRD,126.00,121.00,15.00,11.00
86,BIRD,137.57,41.06,15.00,12.00
86,BIRD,123.00,120.00,16.00,13.00
87,BIRD,133.69,41.75,14.00,12.00
87,BIRD,124.00,121.00,14.00,11.00
88,BIRD,132.28,41.49,15.00,12.00
