frame,label,x,y,width,height
0,DRONE,163.00,159.00,10.00,7.00
1,DRONE,162.92,159.00,9.97,6.98
2,DRONE,162.85,159.00,9.94,6.97
3,DRONE,162.77,159.00,9.91,6.95
4,DRONE,162.70,159.00,9.88,6.94
5,DRONE,162.62,159.00,9.85,6.92
6,DRONE,162.55,159.00,9.82,6.91
7,DRONE,162.47,159.00,9.79,6.89
8,DRONE,162.39,159.00,9.76,6.88
9,DRONE,162.32,159.00,9.73,6.86
10,DRONE,162.24,159.00,9.70,6.85
11,DRONE,162.17,159.00,9.67,6.83
12,DRONE,162.09,159.00,9.64,6.82
13,DRONE,162.02,159.00,9.61,6.80
14,DRONE,161.94,159.00,9.58,6.79
15,DRONE,161.86,159.00,9.55,6.77
16,DRONE,161.79,159.00,9.52,6.76
17,DRONE,161.71,159.00,9.48,6.74
18,DRONE,161.64,159.00,9.45,6.73
19,DRONE,161.56,159.00,9.42,6.71
20,DRONE,161.48,159.00,9.39,6.70
21,DRONE,161.41,159.00,9.36,6.68
22,DRONE,161.33,159.00,9.33,6.67
23,DRONE,161.26,159.00,9.30,6.65
24,DRONE,161.18,159.00,9.27,6.64
25,DRONE,161.11,159.00,9.24,6.62
26,DRONE,161.03,159.00,9.21,6.61
27,DRONE,160.95,159.00,9.18,6.59
28,DRONE,160.88,159.00,9.15,6.58
29,DRONE,160.80,159.00,9.12,6.56
30,DRONE,160.73,159.00,9.09,6.55
31,DRONE,160.65,159.00,9.06,6.53
32,DRONE,160.58,159.00,9.03,6.52
33,DRONE,160.50,159.00,9.00,6.50
34,DRONE,160.42,159.00,8.97,6.48
35,DRONE,160.35,159.00,8.94,6.47
36,DRONE,160.27,159.00,8.91,6.45
37,DRONE,160.20,159.00,8.88,6.44
38,DRONE,160.12,159.00,8.85,6.42
39,DRONE,160.05,159.00,8.82,6.41
40,DRONE,159.97,159.00,8.79,6.39
41,DRONE,159.89,159.00,8.76,6.38
42,DRONE,159.82,159.00,8.73,6.36
43,DRONE,159.74,159.00,8.70,6.35
44,DRONE,159.67,159.00,8.67,6.33
45,DRONE,159.59,159.00,8.64,6.32
46,DRONE,159.52,159.00,8.61,6.30
47,DRONE,159.44,159.00,8.58,6.29
48,DRONE,159.36,159.00,8.55,6.27
49,DRONE,159.29,159.00,8.52,6.26
50,DRONE,159.21,159.00,8.48,6.24
51,DRONE,159.14,159.00,8.45,6.23
52,DRONE,159.06,159.00,8.42,6.21
53,DRONE,158.98,159.00,8.39,6.20
54,DRONE,158.91,159.00,8.36,6.18
55,DRONE,158.83,159.00,8.33,6.17
56,DRONE,158.76,159.00,8.30,6.15
57,DRONE,158.68,159.00,8.27,6.14
58,DRONE,158.61,159.00,8.24,6.12
59,DRONE,158.53,159.00,8.21,6.11
60,DRONE,158.45,159.00,8.18,6.09
61,DRONE,158.38,159.00,8.15,6.08
62,DRONE,158.30,159.00,8.12,6.06
