frame,label,x,y,width,height
0,HELICOPTER,102.00,171.00,17.77,12.00
1,HELICOPTER,102.17,170.98,17.85,12.06
2,HELICOPTER,102.31,170.92,18.01,12.18
3,HELICOPTER,102.53,170.91,18.00,12.19
4,HELICOPTER,102.82,170.97,17.80,12.06
5,HELICOPTER,103.05,170.98,17.74,12.02
6,HELICOPTER,103.20,170.93,17.88,12.11
7,HELICOPTER,103.38,170.88,18.04,12.23
8,HELICOPTER,103.77,170.95,17.83,12.10
9,HELICOPTER,103.98,170.95,17.76,12.06
10,HELICOPTER,104.15,170.93,17.83,12.10
11,HELICOPTER,104.36,170.88,18.05,12.26
12,HELICOPTER,104.72,170.88,17.86,12.15
13,HELICOPTER,104.99,170.93,17.71,12.04
14,HELICOPTER,105.19,170.92,17.78,12.09
15,HELICOPTER,105.37,170.87,17.89,12.17
16,HELICOPTER,105.71,170.94,17.70,12.04
17,HELICOPTER,106.05,171.03,17.44,11.85
18,HELICOPTER,106.26,171.06,17.35,11.79
19,HELICOPTER,106.49,171.08,17.28,11.72
20,HELICOPTER,106.76,171.12,17.16,11.63
21,HELICOPTER,107.13,171.23,16.79,11.37
22,HELICOPTER,107.49,171.36,16.43,11.10
23,HELICOPTER,107.86,171.47,15.95,10.82
24,HELICOPTER,108.11,171.51,15.75,10.70
25,HELICOPTER,108.40,171.57,15.51,10.56
26,HELICOPTER,108.72,171.62,15.23,10.41
27,HELICOPTER,108.95,171.63,15.09,10.35
28,HELICOPTER,109.21,171.64,14.92,10.26
29,HELICOPTER,109.41,171.63,14.79,10.19
30,HELICOPTER,109.71,171.68,14.54,10.06
31,HELICOPTER,109.99,171.69,14.39,9.99
32,HELICOPTER,110.06,171.67,14.41,10.01
33,HELICOPTER,110.27,171.62,14.50,10.09
34,HELICOPTER,110.43,171.60,14.51,10.11
35,HELICOPTER,110.63,171.59,14.45,10.08
36,HELICOPTER,110.85,171.61,14.35,10.02
37,HELICOPTER,111.02,171.57,14.39,10.06
38,HELICOPTER,111.13,171.49,14.53,10.17
39,HELICOPTER,111.27,171.47,14.61,10.22
40,HELICOPTER,111.43,171.45,14.63,10.23
41,HELICOPTER,111.61,171.43,14.61,10.23
42,HELICOPTER,111.84,171.42,14.56,10.19
43,HELICOPTER,111.99,171.36,14.66,10.27
44,HELICOPTER,112.11,171.26,14.77,10.36
45,HELICOPTER,112.27,171.24,14.80,10.38
46,HELICOPTER,112.38,171.24,14.81,10.37
47,HELICOPTER,112.55,171.22,14.78,10.35
48,HELICOPTER,112.78,171.25,14.69,10.28
49,HELICOPTER,112.95,171.22,14.72,10.30
50,HELICOPTER,113.11,171.23,14.72,10.29
51,HELICOPTER,113.27,171.23,14.69,10.25
52,HELICOPTER,113.52,171.31,14.52,10.09
53,HELICOPTER,113.76,171.37,14.35,9.95
54,HELICOPTER,114.05,171.41,14.13,9.78
