frame,label,x,y,width,height
0,AIRPLANE,186.00,208.00,135.00,62.00
1,AIRPLANE,185.67,207.00,134.00,62.00
2,AIRPLANE,185.33,206.00,133.00,62.00
3,AIRPLANE,185.00,205.00,132.00,62.00
4,AIRPLANE,184.67,205.17,132.33,61.83
5,AIRPLANE,184.33,205.33,132.67,61.67
6,AIRPLANE,184.00,205.50,133.00,61.50
7,AIRPLANE,183.67,205.67,133.33,61.33
8,AIRPLANE,183.33,205.83,133.67,61.17
9,AIRPLANE,183.00,206.00,134.00,61.00
10,AIRPLANE,182.67,206.17,134.33,60.83
11,AIRPLANE,182.33,206.33,134.67,60.67
12,AIRPLANE,182.00,206.50,135.00,60.50
13,AIRPLANE,181.67,206.67,135.33,60.33
14,AIRPLANE,181.33,206.83,135.67,60.17
15,AIRPLANE,181.00,207.00,136.00,60.00
16,AIRPLANE,180.87,207.40,136.47,59.87
17,AIRPLANE,180.73,207.80,136.93,59.73
18,AIRPLANE,180.60,208.20,137.40,59.60
19,AIRPLANE,180.47,208.60,137.87,59.47
20,AIRPLANE,180.33,209.00,138.33,59.33
21,AIRPLANE,180.20,209.40,138.80,59.20
22,AIRPLANE,180.07,209.80,139.27,59.07
23,AIRPLANE,179.93,210.20,139.73,58.93
24,AIRPLANE,179.80,210.60,140.20,58.80
25,AIRPLANE,179.67,211.00,140.67,58.67
26,AIRPLANE,179.53,211.40,141.13,58.53
27,AIRPLANE,179.40,211.80,141.60,58.40
28,AIRPLANE,179.27,212.20,142.07,58.27
29,AIRPLANE,179.13,212.60,142.53,58.13
30,AIRPLANE,179.00,213.00,143.00,58.00
31,AIRPLANE,179.08,212.92,142.67,58.25
32,AIRPLANE,179.17,212.83,142.33,58.50
33,AIRPLANE,179.25,212.75,142.00,58.75
34,AIRPLANE,179.33,212.67,141.67,59.00
35,AIRPLANE,179.42,212.58,141.33,59.25
36,AIRPLANE,179.50,212.50,141.00,59.50
37,AIRPLANE,179.58,212.42,140.67,59.75
38,AIRPLANE,179.67,212.33,140.33,60.00
39,AIRPLANE,179.75,212.25,140.00,60.25
40,AIRPLANE,179.83,212.17,139.67,60.50
41,AIRPLANE,179.92,212.08,139.33,60.75
42,AIRPLANE,180.00,212.00,139.00,61.00
43,AIRPLANE,179.79,212.21,139.50,60.79
44,AIRPLANE,179.57,212.43,140.00,60.57
45,AIRPLANE,179.36,212.64,140.50,60.36
46,AIRPLANE,179.14,212.86,141.00,60.14
47,AIRPLANE,178.93,213.07,141.50,59.93
48,AIRPLANE,178.71,213.29,142.00,59.71
49,AIRPLANE,178.50,213.50,142.50,59.50
50,AIRPLANE,178.29,213.71,143.00,59.29
51,AIRPLANE,178.07,213.93,143.50,59.07
52,AIRPLANE,177.86,214.14,144.00,58.86
53,AIRPLANE,177.64,214.36,144.50,58.64
54,AIRPLANE,177.43,214.57,145.00,58.43
55,AIRPLANE,177.21,214.79,145.50,58.21
56,AIRPLANE,177.00,215.00,146.00,58.00
57,AIRPLANE,177.60,214.30,145.30,59.10
58,AIRPLANE,178.20,213.60,144.60,60.20
59,AIRPLANE,178.80,212.90,143.90,61.30
60,AIRPLANE,179.40,212.20,143.20,62.40
61,AIRPLANE,180.00,211.50,142.50,63.50
62,AIRPLANE,180.60,210.80,141.80,64.60
63,AIRPLANE,181.20,210.10,141.10,65.70
64,AIRPLANE,181.80,209.40,140.40,66.80
65,AIRPLANE,182.40,208.70,139.70,67.90
66,AIRPLANE,183.00,208.00,139.00,69.00
67,AIRPLANE,167.00,144.00,212.00,169.00
68,AIRPLANE,166.00,146.00,213.00,169.67
69,AIRPLANE,165.00,148.00,214.00,170.33
70,AIRPLANE,164.00,150.00,215.00,171.00
71,AIRPLANE,161.67,151.83,217.67,171.17
72,AIRPLANE,159.33,153.67,220.33,171.33
73,AIRPLANE,157.00,155.50,223.00,171.50
74,AIRPLANE,154.67,157.33,225.67,171.67
75,AIRPLANE,152.33,159.17,228.33,171.83
76,AIRPLANE,150.00,161.00,231.00,172.00
77,AIRPLANE,158.00,157.00,229.75,174.25
78,AIRPLANE,166.00,153.00,228.50,176.50
79,AIRPLANE,174.00,149.00,227.25,178.75
80,AIRPLANE,182.00,145.00,226.00,181.00
81,AIRPLANE,190.50,134.75,227.25,181.00
82,AIRPLANE,199.00,124.50,228.50,181.00
83,AIRPLANE,207.50,114.25,229.75,181.00
84,AIRPLANE,216.00,104.00,231.00,181.00
85,AIRPLANE,222.33,103.17,228.00,180.83
86,AIRPLANE,228.67,102.33,225.00,180.67
87,AIRPLANE,235.00,101.50,222.00,180.50
88,AIRPLANE,241.33,100.67,219.00,180.33
89,AIRPLANE,247.67,99.83,216.00,180.17
90,AIRPLANE,254.00,99.00,213.00,180.00
91,AIRPLANE,255.80,101.60,212.20,180.20
92,AIRPLANE,257.60,104.20,211.40,180.40
93,AIRPLANE,259.40,106.80,210.60,180.60
94,AIRPLANE,261.20,109.40,209.80,180.80
95,AIRPLANE,263.00,112.00,209.00,181.00
96,AIRPLANE,257.80,114.40,210.60,182.00
97,AIRPLANE,252.60,116.80,212.20,183.00
98,AIRPLANE,247.40,119.20,213.80,184.00
99,AIRPLANE,242.20,121.60,215.40,185.00
100,AIRPLANE,237.00,124.00,217.00,186.00
101,AIRPLANE,235.33,128.00,218.33,186.83
102,AIRPLANE,233.67,132.00,219.67,187.67
103,AIRPLANE,232.00,136.00,221.00,188.50
104,AIRPLANE,230.33,140.00,222.33,189.33
105,AIRPLANE,228.67,144.00,223.67,190.17
106,AIRPLANE,227.00,148.00,225.00,191.00
107,AIRPLANE,223.57,148.43,225.14,191.43
108,AIRPLANE,220.14,148.86,225.29,191.86
109,AIRPLANE,216.71,149.29,225.43,192.29
110,AIRPLANE,213.29,149.71,225.57,192.71
111,AIRPLANE,209.86,150.14,225.71,193.14
112,AIRPLANE,206.43,150.57,225.86,193.57
113,AIRPLANE,203.00,151.00,226.00,194.00
114,AIRPLANE,201.83,150.33,226.83,195.17
115,AIRPLANE,200.67,149.67,227.67,196.33
116,AIRPLANE,199.50,149.00,228.50,197.50
117,AIRPLANE,198.33,148.33,229.33,198.67
118,AIRPLANE,197.17,147.67,230.17,199.83
119,AIRPLANE,196.00,147.00,231.00,201.00
120,AIRPLANE,195.17,144.67,230.50,202.17
121,AIRPLANE,194.33,142.33,230.00,203.33
122,AIRPLANE,193.50,140.00,229.50,204.50
123,AIRPLANE,192.67,137.67,229.00,205.67
124,AIRPLANE,191.83,135.33,228.50,206.83
125,AIRPLANE,191.00,133.00,228.00,208.00
126,AIRPLANE,186.40,126.00,229.40,209.20
127,AIRPLANE,181.80,119.00,230.80,210.40
128,AIRPLANE,177.20,112.00,232.20,211.60
