frame,label,x,y,width,height
0,BIRD,341.00,270.00,26.00,24.00
1,BIRD,339.00,270.33,28.00,23.33
2,BIRD,337.00,270.67,30.00,22.67
3,BIRD,335.00,271.00,32.00,22.00
4,BIRD,333.56,271.37,31.81,21.94
5,BIRD,332.13,271.75,31.63,21.88
6,BIRD,330.69,272.12,31.44,21.81
7,BIRD,329.25,272.50,31.25,21.75
8,BIRD,327.81,272.87,31.06,21.69
9,BIRD,326.38,273.25,30.88,21.63
10,BIRD,324.94,273.62,30.69,21.56
11,BIRD,323.50,274.00,30.50,21.50
12,BIRD,322.06,274.37,30.31,21.44
13,BIRD,320.63,274.75,30.13,21.38
14,BIRD,319.19,275.12,29.94,21.31
15,BIRD,317.75,275.50,29.75,21.25
16,BIRD,316.31,275.87,29.56,21.19
17,BIRD,314.88,276.25,29.38,21.13
18,BIRD,313.44,276.62,29.19,21.06
19,BIRD,312.00,277.00,29.00,21.00
20,BIRD,310.07,277.33,29.33,21.20
21,BIRD,308.13,277.67,29.67,21.40
22,BIRD,306.20,278.00,30.00,21.60
23,BIRD,304.27,278.33,30.33,21.80
24,BIRD,302.33,278.67,30.67,22.00
25,BIRD,300.40,279.00,31.00,22.20
26,BIRD,298.47,279.33,31.33,22.40
27,BIRD,296.53,279.67,31.67,22.60
28,BIRD,294.60,280.00,32.00,22.80
29,BIRD,292.67,280.33,32.33,23.00
30,BIRD,290.73,280.67,32.67,23.20
31,BIRD,288.80,281.00,33.00,23.40
32,BIRD,286.87,281.33,33.33,23.60
33,BIRD,284.93,281.67,33.67,23.80
34,BIRD,283.00,282.00,34.00,24.00
35,BIRD,281.00,282.19,33.44,23.75
36,BIRD,279.00,282.37,32.88,23.50
37,BIRD,277.00,282.56,32.31,23.25
38,BIRD,275.00,282.75,31.75,23.00
39,BIRD,273.00,282.94,31.19,22.75
40,BIRD,271.00,283.12,30.63,22.50
41,BIRD,269.00,283.31,30.06,22.25
42,BIRD,267.00,283.50,29.50,22.00
43,BIRD,265.00,283.69,28.94,21.75
44,BIRD,263.00,283.87,28.38,21.50
45,BIRD,261.00,284.06,27.81,21.25
46,BIRD,259.00,284.25,27.25,21.00
47,BIRD,257.00,284.44,26.69,20.75
48,BIRD,255.00,284.62,26.13,20.50
49,BIRD,253.00,284.81,25.56,20.25
50,BIRD,251.00,285.00,25.00,20.00
51,BIRD,248.56,285.19,24.94,20.38
52,BIRD,246.12,285.38,24.87,20.75
53,BIRD,243.69,285.56,24.81,21.13
54,BIRD,241.25,285.75,24.75,21.50
55,BIRD,238.81,285.94,24.69,21.88
56,BIRD,236.37,286.13,24.62,22.25
57,BIRD,233.94,286.31,24.56,22.63
58,BIRD,231.50,286.50,24.50,23.00
59,BIRD,229.06,286.69,24.44,23.38
60,BIRD,226.62,286.88,24.37,23.75
61,BIRD,224.19,287.06,24.31,24.13
62,BIRD,221.75,287.25,24.25,24.50
63,BIRD,219.31,287.44,24.19,24.88
64,BIRD,216.87,287.63,24.12,25.25
65,BIRD,214.44,287.81,24.06,25.63
66,BIRD,212.00,288.00,24.00,26.00
67,BIRD,209.36,288.50,24.00,25.93
68,BIRD,206.71,289.00,24.00,25.86
69,BIRD,204.07,289.50,24.00,25.79
70,BIRD,201.43,290.00,24.00,25.71
71,BIRD,198.79,290.50,24.00,25.64
72,BIRD,196.14,291.00,24.00,25.57
73,BIRD,193.50,291.50,24.00,25.50
74,BIRD,190.86,292.00,24.00,25.43
75,BIRD,188.21,292.50,24.00,25.36
76,BIRD,185.57,293.00,24.00,25.29
77,BIRD,182.93,293.50,24.00,25.21
78,BIRD,180.29,294.00,24.00,25.14
79,BIRD,177.64,294.50,24.00,25.07
80,BIRD,175.00,295.00,24.00,25.00
81,BIRD,172.62,295.38,23.92,25.00
82,BIRD,170.23,295.77,23.85,25.00
83,BIRD,167.85,296.15,23.77,25.00
84,BIRD,165.46,296.54,23.69,25.00
85,BIRD,163.08,296.92,23.62,25.00
86,BIRD,160.69,297.31,23.54,25.00
87,BIRD,158.31,297.69,23.46,25.00
88,BIRD,155.92,298.08,23.38,25.00
89,BIRD,153.54,298.46,23.31,25.00
90,BIRD,151.15,298.85,23.23,25.00
91,BIRD,148.77,299.23,23.15,25.00
92,BIRD,146.38,299.62,23.08,25.00
93,BIRD,144.00,300.00,23.00,25.00
94,BIRD,140.89,300.33,23.44,25.11
95,BIRD,137.78,300.67,23.89,25.22
96,BIRD,134.67,301.00,24.33,25.33
97,BIRD,131.56,301.33,24.78,25.44
98,BIRD,128.44,301.67,25.22,25.56
99,BIRD,125.33,302.00,25.67,25.67
100,BIRD,122.22,302.33,26.11,25.78
101,BIRD,119.11,302.67,26.56,25.89
102,BIRD,116.00,303.00,27.00,26.00
103,BIRD,113.30,303.60,26.90,26.20
104,BIRD,110.60,304.20,26.80,26.40
105,BIRD,107.90,304.80,26.70,26.60
106,BIRD,105.20,305.40,26.60,26.80
107,BIRD,102.50,306.00,26.50,27.00
108,BIRD,99.80,306.60,26.40,27.20
109,BIRD,97.10,307.20,26.30,27.40
110,BIRD,94.40,307.80,26.20,27.60
111,BIRD,91.70,308.40,26.10,27.80
112,BIRD,89.00,309.00,26.00,28.00
113,BIRD,290.00,262.00,22.00,22.00
114,BIRD,289.25,261.00,22.50,22.00
115,BIRD,288.50,260.00,23.00,22.00
116,BIRD,287.75,259.00,23.50,22.00
117,BIRD,287.00,258.00,24.00,22.00
118,BIRD,286.78,257.11,24.00,21.78
119,BIRD,286.56,256.22,24.00,21.56
120,BIRD,286.33,255.33,24.00,21.33
121,BIRD,286.11,254.44,24.00,21.11
122,BIRD,285.89,253.56,24.00,20.89
123,BIRD,285.67,252.67,24.00,20.67
124,BIRD,285.44,251.78,24.00,20.44
125,BIRD,285.22,250.89,24.00,20.22
126,BIRD,285.00,250.00,24.00,20.00
127,BIRD,285.20,248.80,23.60,20.50
128,BIRD,285.40,247.60,23.20,21.00
129,BIRD,285.60,246.40,22.80,21.50
130,BIRD,285.80,245.20,22.40,22.00
131,BIRD,286.00,244.00,22.00,22.50
132,BIRD,286.20,242.80,21.60,23.00
133,BIRD,286.40,241.60,21.20,23.50
