frame,label,x,y,width,height
0,DRONE,306.00,20.00,42.00,32.00
1,DRONE,307.14,23.47,42.39,32.43
2,DRONE,309.75,30.86,42.08,32.09
3,DRONE,310.62,34.44,42.36,32.36
4,DRONE,312.26,41.79,42.50,32.54
5,DRONE,313.12,45.62,42.17,32.19
6,DRONE,314.08,52.70,42.37,32.44
7,DRONE,314.46,56.30,42.51,32.45
8,DRONE,315.03,63.44,42.28,32.23
9,DRONE,315.03,66.85,42.32,32.37
10,DRONE,315.07,73.80,42.00,32.02
11,DRONE,314.74,77.03,42.24,32.19
12,DRONE,314.07,83.68,42.05,32.07
13,DRONE,313.48,86.73,42.26,32.30
14,DRONE,311.91,92.77,42.79,32.82
15,DRONE,310.39,99.11,42.63,32.51
16,DRONE,308.55,105.12,42.66,32.59
17,DRONE,306.65,111.10,42.59,32.51
18,DRONE,305.60,114.08,42.63,32.56
19,DRONE,304.63,117.05,42.60,32.52
20,DRONE,302.84,122.85,42.19,32.17
21,DRONE,301.86,125.57,42.25,32.24
22,DRONE,299.95,130.99,42.35,32.31
23,DRONE,297.87,135.82,43.01,32.95
24,DRONE,297.47,138.72,42.36,32.31
25,DRONE,296.00,143.68,42.29,32.29
26,DRONE,294.92,145.65,43.04,33.01
27,DRONE,293.93,150.47,42.67,32.69
28,DRONE,292.80,156.91,42.26,32.23
29,DRONE,292.00,160.57,42.45,32.46
30,DRONE,291.75,162.29,42.47,32.43
31,DRONE,291.26,165.52,42.56,32.56
32,DRONE,291.06,166.80,42.92,32.86
33,DRONE,290.93,169.47,42.87,32.91
34,DRONE,290.88,170.64,43.01,33.01
35,DRONE,291.20,172.82,42.75,32.69
36,DRONE,291.73,174.83,42.26,32.23
37,DRONE,291.96,175.56,42.23,32.17
38,DRONE,292.74,177.06,42.50,32.42
39,DRONE,293.46,177.71,42.40,32.35
40,DRONE,294.03,178.18,42.88,32.86
41,DRONE,294.93,178.46,42.93,32.96
42,DRONE,295.64,178.99,42.54,32.45
43,DRONE,296.87,179.50,42.32,32.25
44,DRONE,297.29,179.59,42.62,32.61
45,DRONE,298.63,180.27,42.54,32.48
46,DRONE,299.94,180.75,42.58,32.57
47,DRONE,300.72,181.30,42.51,32.42
48,DRONE,302.19,181.99,42.75,32.64
49,DRONE,303.87,183.08,42.53,32.43
50,DRONE,304.89,183.65,42.24,32.20
51,DRONE,307.27,184.71,42.56,32.54
52,DRONE,309.04,185.40,42.73,32.73
53,DRONE,309.93,185.65,42.83,32.81
54,DRONE,311.89,186.37,42.57,32.51
55,DRONE,313.89,186.29,42.69,32.65
56,DRONE,314.86,186.35,42.58,32.54
57,DRONE,316.83,185.67,42.62,32.64
58,DRONE,317.72,185.04,42.85,32.78
59,DRONE,319.83,183.60,42.74,32.78
60,DRONE,320.83,182.59,42.74,32.77
61,DRONE,322.75,180.16,42.85,32.84
62,DRONE,324.79,177.55,42.55,32.58
63,DRONE,325.63,175.88,42.85,32.79
64,DRONE,327.62,172.94,42.76,32.69
65,DRONE,328.55,171.17,42.68,32.56
66,DRONE,330.30,167.57,42.68,32.69
67,DRONE,331.13,165.51,42.86,32.90
68,DRONE,332.74,161.42,43.01,33.07
69,DRONE,333.75,159.66,42.58,32.60
70,DRONE,335.22,155.25,42.82,32.81
71,DRONE,336.62,151.08,42.80,32.73
72,DRONE,337.35,149.11,42.81,32.71
73,DRONE,338.64,145.43,42.52,32.48
74,DRONE,338.78,143.41,43.18,33.24
75,DRONE,339.69,140.59,43.32,33.32
76,DRONE,340.68,138.78,42.78,32.76
77,DRONE,341.22,137.42,42.77,32.79
78,DRONE,341.59,136.85,42.62,32.58
79,DRONE,341.67,136.84,42.74,32.70
80,DRONE,341.66,137.20,42.67,32.59
81,DRONE,341.70,137.78,42.46,32.48
82,DRONE,340.84,138.83,43.29,33.28
83,DRONE,340.61,139.63,43.13,33.15
84,DRONE,339.64,141.58,43.48,33.48
85,DRONE,339.48,143.04,42.75,32.65
86,DRONE,338.20,145.23,42.80,32.83
87,DRONE,337.75,146.73,42.31,32.35
88,DRONE,335.63,148.51,43.36,33.41
89,DRONE,333.73,150.94,43.21,33.26
90,DRONE,332.80,152.19,43.02,33.14
91,DRONE,330.86,154.58,42.38,32.45
92,DRONE,329.76,155.76,42.26,32.30
93,DRONE,326.58,156.74,43.39,33.37
94,DRONE,324.02,158.62,43.05,33.09
95,DRONE,322.87,159.56,42.54,32.63
96,DRONE,319.72,160.60,42.97,33.03
97,DRONE,318.66,161.61,42.25,32.24
98,DRONE,315.56,162.34,42.53,32.43
99,DRONE,313.83,162.35,42.88,32.97
100,DRONE,310.89,162.64,42.56,32.63
101,DRONE,309.38,162.63,42.48,32.52
102,DRONE,305.78,161.62,43.22,33.22
103,DRONE,302.83,160.36,42.83,32.89
104,DRONE,301.30,159.66,42.62,32.63
105,DRONE,298.35,157.69,42.55,32.55
106,DRONE,296.93,156.56,42.37,32.40
107,DRONE,293.75,153.62,43.09,33.12
108,DRONE,291.09,150.71,42.92,32.92
109,DRONE,289.83,149.23,42.81,32.84
110,DRONE,287.51,145.95,42.48,32.42
111,DRONE,285.83,143.75,43.22,33.20
112,DRONE,283.87,140.60,42.29,32.29
113,DRONE,282.85,138.65,42.23,32.22
114,DRONE,280.39,134.97,42.66,32.57
115,DRONE,279.49,133.52,42.43,32.41
116,DRONE,277.40,130.46,42.54,32.53
117,DRONE,276.24,129.07,42.84,32.75
118,DRONE,274.20,127.02,42.88,32.80
119,DRONE,273.37,126.20,42.68,32.59
120,DRONE,271.58,125.28,42.50,32.39
121,DRONE,270.71,124.94,42.40,32.35
122,DRONE,268.84,124.81,42.26,32.26
123,DRONE,266.75,124.85,42.94,32.91
124,DRONE,265.88,125.31,42.82,32.88
125,DRONE,264.52,126.80,42.39,32.38
126,DRONE,262.73,128.11,42.55,32.46
127,DRONE,261.71,128.78,43.08,33.07
128,DRONE,260.68,130.96,42.29,32.26
129,DRONE,259.01,132.32,42.82,32.92
130,DRONE,258.56,133.29,42.43,32.33
131,DRONE,257.48,134.24,42.53,32.44
132,DRONE,256.49,134.97,42.53,32.49
133,DRONE,255.71,135.02,42.52,32.48
134,DRONE,254.96,134.51,43.00,33.10
135,DRONE,254.80,133.86,42.41,32.45
136,DRONE,254.76,133.41,42.37,32.33
137,DRONE,254.65,131.89,42.36,32.36
138,DRONE,254.61,129.89,42.39,32.38
139,DRONE,254.62,128.90,42.37,32.37
140,DRONE,254.59,126.09,42.55,32.47
141,DRONE,254.87,124.62,42.44,32.51
142,DRONE,254.86,121.09,43.03,33.12
143,DRONE,255.68,117.78,42.35,32.37
144,DRONE,255.70,113.51,43.15,33.24
145,DRONE,256.00,111.43,42.93,33.05
146,DRONE,256.81,107.50,42.40,32.45
147,DRONE,256.72,104.84,43.15,33.18
148,DRONE,257.62,100.72,42.36,32.39
149,DRONE,257.73,98.15,42.68,32.67
150,DRONE,258.47,93.26,42.58,32.53
151,DRONE,258.75,88.02,42.96,33.01
152,DRONE,259.22,85.62,42.73,32.81
153,DRONE,259.80,80.56,42.88,32.99
154,DRONE,260.10,78.33,42.80,32.91
155,DRONE,260.74,73.84,42.79,32.82
156,DRONE,260.86,71.70,43.14,33.19
157,DRONE,261.77,68.32,42.50,32.51
158,DRONE,262.35,65.19,42.67,32.65
159,DRONE,262.62,63.94,42.54,32.53
160,DRONE,262.86,62.55,42.63,32.74
161,DRONE,263.44,60.63,42.48,32.54
162,DRONE,263.64,59.91,42.46,32.48
163,DRONE,263.88,58.49,42.63,32.74
164,DRONE,263.87,57.82,43.06,33.12
165,DRONE,264.42,57.56,42.48,32.56
166,DRONE,264.36,57.04,42.68,32.66
167,DRONE,264.33,57.01,42.70,32.69
168,DRONE,264.38,56.74,42.54,32.63
169,DRONE,264.02,56.53,42.80,32.96
170,DRONE,263.86,56.58,42.27,32.37
171,DRONE,262.82,55.79,43.08,33.15
172,DRONE,262.77,55.88,42.46,32.53
173,DRONE,261.77,55.06,42.63,32.65
174,DRONE,261.17,54.65,42.75,32.86
175,DRONE,259.87,53.57,42.90,33.04
176,DRONE,258.72,52.84,42.32,32.39
177,DRONE,257.78,51.93,42.71,32.75
178,DRONE,256.33,50.52,42.54,32.63
179,DRONE,255.32,49.76,42.59,32.67
180,DRONE,253.37,47.99,42.63,32.62
181,DRONE,252.27,46.81,42.68,32.74
182,DRONE,249.93,44.47,42.78,32.93
183,DRONE,247.67,42.00,42.42,32.44
184,DRONE,244.95,39.50,42.48,32.61
185,DRONE,243.72,38.30,42.38,32.36
186,DRONE,240.86,35.83,42.20,32.28
187,DRONE,237.83,33.64,42.14,32.20
188,DRONE,235.94,32.40,42.58,32.71
189,DRONE,232.82,30.86,42.36,32.44
190,DRONE,229.30,29.21,42.67,32.67
191,DRONE,225.79,28.18,42.67,32.71
192,DRONE,222.11,27.14,42.85,32.92
193,DRONE,220.51,26.99,42.69,32.67
194,DRONE,216.85,26.22,42.92,33.05
195,DRONE,215.05,26.02,43.00,33.02
196,DRONE,211.66,25.79,42.96,32.98
197,DRONE,208.73,25.86,42.39,32.46
198,DRONE,206.86,25.55,42.93,33.06
199,DRONE,203.91,25.53,42.80,32.94
200,DRONE,202.83,25.84,42.30,32.38
201,DRONE,200.02,25.53,42.85,32.98
202,DRONE,198.92,25.46,42.81,32.96
203,DRONE,196.99,25.45,42.79,32.94
204,DRONE,195.88,25.78,42.13,32.22
205,DRONE,194.87,25.69,42.11,32.18
206,DRONE,193.88,25.00,43.01,33.06
207,DRONE,193.86,24.89,43.08,33.12
208,DRONE,194.46,25.04,42.53,32.51
209,DRONE,195.37,24.90,42.62,32.63
210,DRONE,195.82,24.67,42.73,32.84
211,DRONE,197.76,24.88,42.29,32.35
212,DRONE,198.74,24.82,42.24,32.30
213,DRONE,200.87,24.63,42.52,32.63
214,DRONE,201.95,24.28,42.89,33.01
215,DRONE,204.91,24.24,42.91,33.03
216,DRONE,208.26,24.22,42.69,32.70
217,DRONE,211.84,24.34,42.45,32.47
218,DRONE,213.77,24.53,42.20,32.20
219,DRONE,217.75,24.55,42.17,32.17
220,DRONE,219.80,24.63,42.12,32.13
221,DRONE,223.96,24.71,42.25,32.34
222,DRONE,225.95,24.53,42.66,32.78
223,DRONE,230.60,25.21,42.42,32.35
224,DRONE,232.89,25.37,42.35,32.36
225,DRONE,237.78,25.99,42.17,32.21
226,DRONE,239.88,26.14,42.64,32.65
227,DRONE,244.84,26.93,42.60,32.64
228,DRONE,249.72,28.15,42.47,32.43
229,DRONE,254.74,29.52,42.21,32.22
230,DRONE,259.36,30.98,42.58,32.57
231,DRONE,261.97,31.83,42.33,32.44
232,DRONE,266.92,33.86,42.27,32.36
233,DRONE,269.11,34.82,42.87,32.89
234,DRONE,274.12,37.07,42.84,32.84
235,DRONE,279.34,39.55,42.48,32.57
236,DRONE,281.91,40.69,42.55,32.66
237,DRONE,286.94,42.55,42.90,33.02
238,DRONE,289.79,43.92,42.35,32.40
239,DRONE,294.89,45.50,42.66,32.79
240,DRONE,300.46,47.62,42.39,32.46
241,DRONE,302.82,48.11,42.84,32.87
242,DRONE,308.52,49.83,42.38,32.44
243,DRONE,311.01,50.34,42.78,32.91
244,DRONE,316.80,51.80,42.28,32.36
245,DRONE,321.84,52.68,43.08,33.13
246,DRONE,327.63,53.98,42.48,32.48
247,DRONE,330.32,54.47,42.54,32.62
248,DRONE,335.82,55.68,42.22,32.30
249,DRONE,340.92,56.58,42.45,32.57
250,DRONE,343.59,57.12,42.58,32.54
251,DRONE,348.66,58.16,42.57,32.53
252,DRONE,350.93,58.57,42.81,32.92
253,DRONE,353.74,59.54,42.29,32.32
254,DRONE,358.57,60.70,42.32,32.38
255,DRONE,360.68,61.11,42.60,32.57
256,DRONE,365.43,62.54,42.45,32.50
257,DRONE,367.60,63.05,42.58,32.54
258,DRONE,371.93,64.57,42.50,32.61
259,DRONE,373.85,65.13,42.81,32.83
