frame,label,x,y,width,height
0,HELICOPTER,251.10,262.71,88.79,77.66
1,HELICOPTER,261.31,271.51,71.25,60.41
2,HELICOPTER,261.46,270.94,73.85,62.10
3,HELICOPTER,263.67,271.80,72.50,60.89
4,HELICOPTER,264.52,271.62,72.76,60.97
5,HELICOPTER,265.83,271.45,73.03,61.47
6,HELICOPTER,267.40,270.50,73.32,62.40
7,HELICOPTER,268.90,271.61,72.54,61.12
8,HELICOPTER,270.88,272.36,72.01,60.74
9,HELICOPTER,272.79,274.33,71.41,59.81
10,HELICOPTER,275.26,276.24,71.11,59.54
11,HELICOPTER,278.48,278.58,69.66,58.30
12,HELICOPTER,280.98,280.39,71.13,59.54
13,HELICOPTER,284.24,281.99,71.48,60.04
14,HELICOPTER,287.74,284.72,70.50,58.57
15,HELICOPTER,290.45,285.75,71.07,59.47
16,HELICOPTER,292.93,287.54,71.16,59.83
17,HELICOPTER,295.38,289.83,71.00,59.52
18,HELICOPTER,298.43,292.30,69.67,58.61
19,HELICOPTER,299.81,292.54,72.13,61.24
20,HELICOPTER,302.11,293.27,72.44,61.76
21,HELICOPTER,305.50,296.55,69.21,57.31
22,HELICOPTER,307.11,297.12,69.35,57.77
23,HELICOPTER,308.41,298.27,69.29,57.89
24,HELICOPTER,308.84,299.15,70.24,58.82
25,HELICOPTER,309.88,300.60,68.86,57.71
26,HELICOPTER,309.06,300.32,70.52,58.98
27,HELICOPTER,308.70,299.64,70.80,59.74
28,HELICOPTER,309.17,301.36,68.06,55.86
29,HELICOPTER,307.03,298.40,69.72,59.72
30,HELICOPTER,306.32,297.84,69.90,59.56
31,HELICOPTER,306.11,296.77,69.19,59.33
32,HELICOPTER,304.03,294.49,71.59,61.86
33,HELICOPTER,303.21,293.76,71.36,61.63
34,HELICOPTER,302.12,293.42,70.77,60.61
35,HELICOPTER,300.04,292.75,71.53,60.72
36,HELICOPTER,298.27,291.91,71.56,61.33
37,HELICOPTER,296.82,292.46,71.50,61.05
38,HELICOPTER,296.48,292.80,70.88,60.92
39,HELICOPTER,294.21,290.43,74.31,64.89
40,HELICOPTER,294.22,290.89,73.94,64.66
41,HELICOPTER,294.44,291.08,73.13,63.43
42,HELICOPTER,293.59,291.33,73.99,64.31
43,HELICOPTER,293.00,291.16,74.02,64.91
44,HELICOPTER,292.23,292.01,74.42,64.99
45,HELICOPTER,292.16,293.09,73.56,64.60
46,HELICOPTER,291.13,293.56,75.29,66.35
47,HELICOPTER,291.19,294.93,75.24,66.52
48,HELICOPTER,291.06,297.39,74.95,66.06
49,HELICOPTER,290.26,299.43,75.48,66.49
50,HELICOPTER,289.20,301.93,75.80,67.41
51,HELICOPTER,288.18,304.36,76.33,67.72
52,HELICOPTER,288.56,307.01,75.08,66.78
53,HELICOPTER,287.37,305.29,78.69,70.44
54,HELICOPTER,288.53,305.14,78.33,70.15
55,HELICOPTER,289.34,306.09,78.22,69.84
56,HELICOPTER,289.92,306.71,78.90,70.31
57,HELICOPTER,290.16,307.33,79.14,71.08
58,HELICOPTER,290.02,308.74,79.44,71.28
59,HELICOPTER,290.39,309.91,78.77,70.88
60,HELICOPTER,289.89,310.85,80.20,72.02
61,HELICOPTER,290.85,312.61,79.18,71.17
62,HELICOPTER,290.68,313.82,80.15,72.12
63,HELICOPTER,290.40,314.70,80.56,72.33
64,HELICOPTER,289.85,315.13,80.80,73.07
65,HELICOPTER,289.51,315.51,80.73,72.73
66,HELICOPTER,289.67,315.75,79.83,72.06
67,HELICOPTER,289.23,314.71,80.57,72.60
68,HELICOPTER,289.02,313.54,80.44,72.66
69,HELICOPTER,288.39,313.48,80.38,72.50
70,HELICOPTER,287.59,313.19,80.81,72.71
71,HELICOPTER,286.55,312.71,81.19,73.47
72,HELICOPTER,285.42,313.18,81.49,73.63
73,HELICOPTER,284.65,313.09,80.88,73.32
74,HELICOPTER,283.70,313.20,81.32,73.38
75,HELICOPTER,283.01,313.79,81.06,73.27
76,HELICOPTER,282.34,314.86,81.28,73.65
77,HELICOPTER,281.51,316.28,81.41,73.52
78,HELICOPTER,280.64,317.57,81.30,73.59
79,HELICOPTER,280.03,319.42,81.03,72.98
80,HELICOPTER,279.30,320.98,80.59,72.56
81,HELICOPTER,278.26,322.88,80.50,72.19
82,HELICOPTER,276.88,324.23,80.91,72.72
83,HELICOPTER,276.24,326.36,80.28,72.14
84,HELICOPTER,275.33,328.53,80.31,71.93
85,HELICOPTER,274.65,330.33,80.27,72.02
86,HELICOPTER,274.11,333.11,79.90,71.18
87,HELICOPTER,273.42,335.46,79.80,71.26
88,HELICOPTER,272.99,337.68,79.37,70.53
89,HELICOPTER,272.66,338.73,79.19,70.38
90,HELICOPTER,272.74,339.74,78.75,69.92
91,HELICOPTER,272.73,340.36,78.79,69.85
92,HELICOPTER,272.84,340.98,78.42,69.46
93,HELICOPTER,273.36,342.47,77.89,68.46
94,HELICOPTER,273.59,342.16,79.03,69.90
95,HELICOPTER,275.51,343.81,77.64,68.27
96,HELICOPTER,276.79,344.65,77.57,68.16
97,HELICOPTER,277.70,345.85,77.06,67.63
98,HELICOPTER,278.19,347.44,76.79,67.19
99,HELICOPTER,278.66,348.69,76.40,66.69
100,HELICOPTER,278.54,349.76,76.55,66.59
101,HELICOPTER,277.60,350.02,77.74,67.94
102,HELICOPTER,277.70,352.11,76.16,66.28
103,HELICOPTER,276.53,352.98,76.43,66.51
104,HELICOPTER,275.47,354.46,76.02,66.07
105,HELICOPTER,274.28,355.61,75.57,65.39
106,HELICOPTER,272.71,356.15,74.96,64.62
107,HELICOPTER,271.47,356.86,73.67,63.00
108,HELICOPTER,268.14,354.78,76.53,66.03
109,HELICOPTER,268.28,356.55,73.25,62.19
110,HELICOPTER,267.09,356.54,73.07,61.82
111,HELICOPTER,266.53,357.91,72.24,60.64
112,HELICOPTER,266.19,360.01,70.68,58.39
113,HELICOPTER,264.67,359.95,71.61,59.58
114,HELICOPTER,264.82,361.95,69.72,57.19
115,HELICOPTER,262.81,360.76,72.56,60.34
116,HELICOPTER,264.15,363.98,68.71,55.36
117,HELICOPTER,264.24,365.34,67.52,53.82
118,HELICOPTER,264.14,366.22,67.65,53.95
119,HELICOPTER,264.91,366.10,68.07,54.14
